experiment,area,n_cells,cell_share_pct,n_days,diag_sse,diag_sse_share_pct,diag_zero_sse,diag_sse_vs_zero,diag_rmse_daily_mean,diag_nrmse,off_origin_sse,off_origin_sse_share_pct,off_origin_zero_sse,off_origin_sse_vs_zero,off_origin_rmse_daily_mean,off_origin_nrmse,off_destination_sse,off_destination_sse_share_pct,off_destination_zero_sse,off_destination_sse_vs_zero,off_destination_rmse_daily_mean,off_destination_nrmse
EXP01,七尾市,123,8.333,14,58238.524123,33.946,8105906.874912,0.007185,5.775356,0.217364,805.263719,50.325,6529.127785,0.123334,0.01775,1.008526,781.265846,48.825,6484.453594,0.120483,0.017498,0.994215
EXP01,珠洲市,107,7.249,14,12080.092082,7.041,294990.484967,0.040951,2.764839,0.104059,124.546657,7.783,467.442356,0.266443,0.007429,0.422096,124.546657,7.783,467.442356,0.266443,0.007429,0.422096
EXP01,穴水町,63,4.268,14,10238.931318,5.968,278526.047175,0.036761,3.298401,0.12414,53.639134,3.352,95.471278,0.561835,0.006018,0.341919,55.411256,3.463,96.336992,0.575182,0.006033,0.342803
EXP01,能登町,89,6.03,14,11429.131514,6.662,467258.975961,0.02446,2.991978,0.112607,29.735052,1.858,11.504891,2.584557,0.003896,0.221383,29.735052,1.858,11.504891,2.584557,0.003896,0.221383
EXP01,輪島市,154,10.434,14,29278.877853,17.066,1613918.879626,0.018141,3.299345,0.124176,146.064561,9.128,869.438587,0.167999,0.006552,0.372269,143.999834,8.999,868.572873,0.165789,0.0065,0.369346
EXP01,志賀町,85,5.759,14,18252.685357,10.639,758694.561194,0.024058,3.885323,0.14623,132.583339,8.286,319.146985,0.41543,0.00853,0.484639,132.583339,8.286,319.146985,0.41543,0.00853,0.484639
EXP01,中能登町,20,1.355,14,17256.267844,10.058,1168697.458028,0.014765,7.59202,0.285737,265.169016,16.572,751.216246,0.352986,0.025048,1.423167,293.096111,18.317,797.797775,0.367381,0.026401,1.500062
EXP01,羽咋市,20,1.355,14,11548.353745,6.731,276722.382934,0.041733,6.157775,0.231757,43.135815,2.696,40.603124,1.062377,0.009932,0.564325,39.499198,2.468,38.695785,1.020762,0.009493,0.539391
EXP01,対象8市町外・富山県,815,55.217,14,3239.862321,1.888,85752.703066,0.037781,0.509112,0.019161,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
EXP01,全体,1476,100.0,14,171562.726157,100.0,13050468.367863,0.013146,2.861761,0.107706,1600.137293,100.0,9083.951252,0.17615,0.007234,0.411007,1600.137293,100.0,9083.951252,0.17615,0.007234,0.411007
