experiment,area,n_cells,cell_share_pct,n_days,diag_sse,diag_sse_share_pct,diag_zero_sse,diag_sse_vs_zero,diag_rmse_daily_mean,diag_nrmse,off_origin_sse,off_origin_sse_share_pct,off_origin_zero_sse,off_origin_sse_vs_zero,off_origin_rmse_daily_mean,off_origin_nrmse,off_destination_sse,off_destination_sse_share_pct,off_destination_zero_sse,off_destination_sse_vs_zero,off_destination_rmse_daily_mean,off_destination_nrmse
EXP03,七尾市,123,8.333,14,44503.631853,41.277,8105906.874912,0.00549,4.976468,0.187297,473.28297,49.722,6529.127785,0.072488,0.013586,0.771958,465.528839,48.907,6484.453594,0.071792,0.01348,0.765932
EXP03,珠洲市,107,7.249,14,7638.334358,7.085,294990.484967,0.025893,2.226123,0.083783,93.930184,9.868,467.442356,0.200945,0.006382,0.362638,93.929693,9.868,467.442356,0.200944,0.006382,0.362637
EXP03,穴水町,63,4.268,14,4993.95248,4.632,278526.047175,0.01793,2.299676,0.086552,26.793967,2.815,95.471278,0.28065,0.004295,0.244046,27.62802,2.903,96.336992,0.286785,0.00439,0.249432
EXP03,能登町,89,6.03,14,7475.195586,6.933,467258.975961,0.015998,2.4323,0.091543,11.267065,1.184,11.504891,0.979328,0.002331,0.132442,11.267919,1.184,11.504891,0.979403,0.002331,0.13245
EXP03,輪島市,154,10.434,14,11866.079,11.006,1613918.879626,0.007352,2.28617,0.086043,78.606605,8.258,869.438587,0.090411,0.004901,0.278472,77.626333,8.155,868.572873,0.089372,0.004873,0.276883
EXP03,志賀町,85,5.759,14,12431.89398,11.531,758694.561194,0.016386,3.193205,0.120181,78.125091,8.208,319.146985,0.244793,0.006543,0.371741,78.127212,8.208,319.146985,0.2448,0.006543,0.371747
EXP03,中能登町,20,1.355,14,10399.865104,9.646,1168697.458028,0.008899,5.977671,0.224978,167.444592,17.591,751.216246,0.222898,0.019916,1.131567,177.387174,18.636,797.797775,0.222346,0.02049,1.164183
EXP03,羽咋市,20,1.355,14,6346.908427,5.887,276722.382934,0.022936,4.654134,0.175165,22.399327,2.353,40.603124,0.551665,0.007165,0.40711,20.35461,2.138,38.695785,0.526016,0.006752,0.383656
EXP03,対象8市町外・富山県,815,55.217,14,2161.381871,2.005,85752.703066,0.025205,0.41291,0.01554,0.006144,0.001,0.0,,1.7e-05,0.00095,0.006144,0.001,0.0,,1.7e-05,0.00095
EXP03,全体,1476,100.0,14,107817.24266,100.0,13050468.367863,0.008262,2.270659,0.08546,951.855945,100.0,9083.951252,0.104784,0.005579,0.316977,951.855945,100.0,9083.951252,0.104784,0.005579,0.316977
