experiment,area,n_cells,cell_share_pct,n_days,diag_sse,diag_sse_share_pct,diag_zero_sse,diag_sse_vs_zero,diag_rmse_daily_mean,diag_nrmse,off_origin_sse,off_origin_sse_share_pct,off_origin_zero_sse,off_origin_sse_vs_zero,off_origin_rmse_daily_mean,off_origin_nrmse,off_destination_sse,off_destination_sse_share_pct,off_destination_zero_sse,off_destination_sse_vs_zero,off_destination_rmse_daily_mean,off_destination_nrmse
EXP00,七尾市,123,8.333,14,79938.306878,38.53,8105906.874912,0.009862,6.727928,0.253215,899.326205,51.025,6529.127785,0.137741,0.018715,1.063379,874.821141,49.635,6484.453594,0.134911,0.018469,1.04935
EXP00,珠洲市,107,7.249,14,14927.913352,7.195,294990.484967,0.050605,2.992782,0.112638,132.635347,7.525,467.442356,0.283747,0.007567,0.429919,132.635347,7.525,467.442356,0.283747,0.007567,0.429919
EXP00,穴水町,63,4.268,14,9781.937542,4.715,278526.047175,0.03512,3.12219,0.117508,55.66148,3.158,95.471278,0.583018,0.006409,0.36412,56.527194,3.207,96.336992,0.586765,0.006488,0.368663
EXP00,能登町,89,6.03,14,12823.60027,6.181,467258.975961,0.027444,3.155187,0.11875,47.133906,2.674,11.504891,4.096858,0.004938,0.28059,47.133906,2.674,11.504891,4.096858,0.004938,0.28059
EXP00,輪島市,154,10.434,14,33923.387522,16.351,1613918.879626,0.021019,3.531667,0.132919,176.020526,9.987,869.438587,0.202453,0.007264,0.412737,175.154811,9.938,868.572873,0.201658,0.007245,0.411631
EXP00,志賀町,85,5.759,14,18473.179775,8.904,758694.561194,0.024349,3.876823,0.14591,152.134683,8.632,319.146985,0.476692,0.009166,0.520819,152.134683,8.632,319.146985,0.476692,0.009166,0.520819
EXP00,中能登町,20,1.355,14,21627.923515,10.425,1168697.458028,0.018506,8.451116,0.31807,243.032591,13.789,751.216246,0.323519,0.023903,1.358105,269.444993,15.287,797.797775,0.337736,0.025199,1.431755
EXP00,羽咋市,20,1.355,14,12015.924606,5.792,276722.382934,0.043422,6.332266,0.238324,56.575807,3.21,40.603124,1.393386,0.01145,0.650589,54.668468,3.102,38.695785,1.412776,0.011275,0.640642
EXP00,対象8市町外・富山県,815,55.217,14,3957.137398,1.907,85752.703066,0.046146,0.571423,0.021506,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
EXP00,全体,1476,100.0,14,207469.310858,100.0,13050468.367863,0.015897,3.111915,0.117121,1762.520543,100.0,9083.951252,0.194026,0.007573,0.430311,1762.520543,100.0,9083.951252,0.194026,0.007573,0.430311
