experiment,area,n_cells,cell_share_pct,n_days,diag_sse,diag_sse_share_pct,diag_zero_sse,diag_sse_vs_zero,diag_rmse_daily_mean,diag_nrmse,off_origin_sse,off_origin_sse_share_pct,off_origin_zero_sse,off_origin_sse_vs_zero,off_origin_rmse_daily_mean,off_origin_nrmse,off_destination_sse,off_destination_sse_share_pct,off_destination_zero_sse,off_destination_sse_vs_zero,off_destination_rmse_daily_mean,off_destination_nrmse
EXP02,七尾市,123,8.333,14,60483.996075,34.598,8105906.874912,0.007462,5.877388,0.221204,510.858519,48.574,6529.127785,0.078243,0.014138,0.803307,503.662208,47.89,6484.453594,0.077672,0.01404,0.797719
EXP02,珠洲市,107,7.249,14,12509.237571,7.156,294990.484967,0.042406,2.810008,0.105759,94.051404,8.943,467.442356,0.201204,0.006449,0.366399,94.026701,8.94,467.442356,0.201151,0.006448,0.366345
EXP02,穴水町,63,4.268,14,10759.597966,6.155,278526.047175,0.03863,3.366557,0.126705,24.083636,2.29,95.471278,0.252261,0.004064,0.230929,25.181318,2.394,96.336992,0.261388,0.004186,0.237863
EXP02,能登町,89,6.03,14,11349.166438,6.492,467258.975961,0.024289,2.982128,0.112237,13.605902,1.294,11.504891,1.182619,0.002612,0.148431,13.662193,1.299,11.504891,1.187512,0.002619,0.148812
EXP02,輪島市,154,10.434,14,29471.240222,16.858,1613918.879626,0.018261,3.287444,0.123728,132.837942,12.631,869.438587,0.152786,0.006277,0.356666,131.446598,12.498,868.572873,0.151336,0.006244,0.354766
EXP02,志賀町,85,5.759,14,18562.392685,10.618,758694.561194,0.024466,3.914314,0.147321,79.458866,7.555,319.146985,0.248973,0.006599,0.374968,79.465467,7.556,319.146985,0.248993,0.0066,0.374987
EXP02,中能登町,20,1.355,14,16760.025023,9.587,1168697.458028,0.014341,7.491202,0.281942,174.038496,16.548,751.216246,0.231676,0.020263,1.151328,183.654096,17.462,797.797775,0.230201,0.020891,1.186963
EXP02,羽咋市,20,1.355,14,11585.930712,6.627,276722.382934,0.041868,6.180152,0.232599,22.744539,2.163,40.603124,0.560167,0.007178,0.407842,20.580723,1.957,38.695785,0.53186,0.006755,0.383782
EXP02,対象8市町外・富山県,815,55.217,14,3337.34051,1.909,85752.703066,0.038918,0.515421,0.019399,0.035654,0.003,0.0,,2.2e-05,0.001273,0.035654,0.003,0.0,,2.2e-05,0.001273
EXP02,全体,1476,100.0,14,174818.927203,100.0,13050468.367863,0.013396,2.887731,0.108684,1051.714958,100.0,9083.951252,0.115777,0.005856,0.332715,1051.714958,100.0,9083.951252,0.115777,0.005856,0.332715
